case,session,source_file,page,parser_speaker,blind_read_label,agree,opening_words,which_occurrence,reader_notes
h108,1999-10-27_r52,1999-10-27_r52_ORDINARIA.html,,Sr. PRESIDENTE (Cafiero),Sr. PRESIDENTE (Cafiero).-,yes,Corresponde considerar el dictamen de la Comisión de Trabajo y Previsión Social en el proyecto de declaración del señor senador Ortega por el que se declara de interés del Honorable,,
h109,1998-03-25_r05,1998-03-25_r05_ORDINARIA.html,,Sr. LOPEZ,Sr. LOPEZ.--,yes,¿En el gobierno del oficialismo?,,
h110,2000-04-12_r13,2000-04-12_r13_ORDINARIA.html,,Sr. Presidente (Genoud),Sr. Presidente (Genoud). --,yes,Queda aprobada la declaración. Se procederá en consecuencia.,21 of 22,
h111,2000-09-07_r50,2000-09-07_r50_ORDINARIA.html,,Sr. Agúndez,Sr. Agúndez. --,yes,"Señor presidente: seré muy breve. Nosotros vamos a ratificar este proyecto, porque a los diecinueve días de haber asumido en el Senado de la Nación, en 1995, presentamos un proyecto",,
h112,2003-04-09_r06,2003-04-09_r06_ORDINARIA.html,,Sr. Presidente (López Arias),Sr. Presidente (López Arias) . --,yes,Ya tenemos quórum. Podríamos iniciar la sesión...,,
h113,2001-05-09_r32,2001-05-09_r32_ESPECIAL.html,,Sr. Presidente (Yoma),Sr. Presidente (Yoma) . --,yes,Tiene la palabra el señor senador Maya.,3 of 3,
h114,2002-01-23_r82,2002-01-23_r82_ORDINARIA.html,,Sr. Secretario (Oyarzún),Sr. Secretario (Oyarzún). --,yes,"(Lee:) ""Artículo 3°. Modifícase el artículo 49 de la ley 24.522 el que queda redactado de la siguiente forma: ""Artículo 49. Existencia de acuerdo. Dentro de los tres (3) días",,"Passage is inside a bill text (article 3 of law 24.522) that the Secretary reads into the record ((Lee:) ""Artículo 3°...""); the speaker label governing it is the Secretary reading it aloud, not an anonymous inserted document, since the reading itself is a spoken floor act."
h115,2000-08-23_r46,2000-08-23_r46_ORDINARIA.html,,Sr. Presidente,Sr. Presidente.--,yes,Señor senador: respete el orden. Está hablando el ministro. Señor ministro: no le conteste al senador Rodríguez Saá. Continúe en el uso de la palabra.,,
h116,2000-05-17_r17,2000-05-17_r17_ORDINARIA.html,,Sr. Presidente (Genoud),Sr. Presidente (Genoud). --,yes,Queda aprobada la comunicación. Se procederá en consecuencia.,8 of 16,"Batch says occurrence 8 of 16, but a plain-text search of the file finds 17 occurrences of ""Queda aprobada la comunicación. Se procederá en consecuencia."" (one has a stray space before the final period). All 17 occurrences are preceded by the same speaker (Sr. Presidente (Genoud)), so the count mismatch does not change the answer here, but a maintainer may want to check why the total differs."
h117,2002-05-30_r13,2002-05-30_r13_ORDINARIA.html,,Sr. Presidente (Maqueda),Sr. Presidente (Maqueda). --,yes,"Por favor, silencio.",,"No which_occurrence given; phrase ""Por favor, silencio."" occurs 3 times in the file — took the first (all three are said by Sr. Presidente (Maqueda), so it would not change the answer either way)."
h118,2001-07-29_r49,2001-07-29_r49_ESPECIAL.html,,Sr. Sala,Sr. Sala. --,yes,"Señor presidente: es para manifestar que coincido en la redacción del artículo 10 propuesta por el señor senador Maglietti. Estoy de acuerdo con que hay que unificar criterios, para no",,
h119,2001-04-18_r18,2001-04-18_r18_ORDINARIA.html,,Sr. Presidente (Losada),Sr. Presidente (Losada). --,yes,Tiene la palabra el señor senador Agúndez.,1 of 6,
h120,2000-10-25_r59,2000-10-25_r59_ORDINARIA.html,,Sr. Prosecretario (Colombo),Sr. Secretario (Pontaquarto) . --,no,(Lee:),276 of 291,"the sheet's old occurrence count sent the reader to a different printing of the same stock phrase; the page prints the parser's label immediately before every block the parser gives it (checked, this file) | reader: Batch says occurrence 276 of 291, but a plain-text search of the file finds 295 occurrences of ""(Lee:)"" (stage direction ""(Lee:)"" i.e. ""[Reads:]""), not 291. This passage has no other distinguishing words, so the case depends entirely on getting the occurrence count right. Under my own count, occurrence #266 through #278 are all read by Sr. Secretario (Pontaquarto) (reading successive Ordenes del Día), and the speaker switches to Sr. Prosecretario (Colombo) starting at my occurrence #279 — occurrence 276 by my count falls in the Pontaquarto block, comfortably before the switch, which is why I give Pontaquarto. But the 4-occurrence gap between my total (295) and the stated total (291) means the true 276th occurrence could plausibly land right at or past that speaker switch instead. I could not reconcile the discrepancy from the raw HTML alone (tried several tag-stripping/whitespace strategies, all giving 295). Flagging for a maintainer to double check the occurrence-counting method for this row rather than trusting a coin-flip answer at a speaker boundary."
h121,2001-03-14_r06,2001-03-14_r06_ORDINARIA.html,,Sr. Presidente (Menem),Sr. Presidente (Menem) . --,yes,Tiene la palabra el señor senador Oudin.,,
h122,2001-05-23_r35,2001-05-23_r35_ORDINARIA.html,,Sr. Presidente (Losada),Sr. Presidente (Losada). --,yes,Corresponde considerar el dictamen de la Comisión de Relaciones Exteriores y Culto en el mensaje y proyecto de ley del Poder Ejecutivo por el que se aprueba el Acuerdo de,,"No which_occurrence given; this exact sentence (about the Acuerdo de Coproducción/Cooperación...) recurs 3 times in the file for different treaties, all as the opening of a new item read by Sr. Presidente (Losada). Took the first."
h123,2002-03-14_r03,2002-03-14_r03_ORDINARIA.html,,Sra. Halak,Sra. Halak .--,yes,Señor presidente: trataré de ser breve ya que siento la presión de las miradas apurándome. De nada sirve que lloremos sobre la leche derramada. Estamos en esta situación porque desgraciadamente,,
h124,2003-06-11_r11,2003-06-11_r11_ORDINARIA.html,,Sr. Presidente (López Arias),Sr. Presidente (López Arias) . --,yes,Ahora corresponde considerar el pedido efectuado por la señora senadora Seguí. Señora senadora: ¿usted solicita dos pedidos de preferencia con dictamen de comisión?,,
h125,2002-10-23_r30,2002-10-23_r30_ORDINARIA.html,,Sr. Presidente (Maqueda),Sr. Presidente (Maqueda) . --,yes,"En consideración en general. Si no se hace uso de la palabra, se va a votar.",77 of 162,
h126,1999-12-28_r72,1999-12-28_r72_ESPECIAL.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,"En consideración en general. Si no se hace uso de la palabra, se va a votar. Se necesitan los dos tercios de los votos.",2 of 2,
h127,1998-09-09_r44,1998-09-09_r44_ORDINARIA.html,,Sr. PRESIDENTE (Losada),Sr. PRESIDENTE (Losada).-,yes,Tiene la palabra el señor senador por Corrientes del Partido Autonomista.,,
h128,2000-11-22_r63,2000-11-22_r63_ORDINARIA.html,,Sr. Gioja,Sr. Gioja . --,yes,"Voy a reiterar la moción que hice anteriormente: solicito que se altere el plan de labor, a efectos de que se trate sobre tablas el expediente S. 2203/00.",,
h129,2001-06-27_r43,2001-06-27_r43_ORDINARIA.html,,Sr. Agúndez,Sr. Agúndez. --,yes,"Sí, como no.",,
h130,2001-06-27_r43,2001-06-27_r43_ORDINARIA.html,,Sr. Presidente (León),Sr. Presidente (León). --,yes,Queda sancionado el proyecto de ley. Se comunicará a la Honorable Cámara de Diputados. Tiene la palabra el señor senador Sapag.,,
h131,2003-03-06_r02,2003-03-06_r02_ORDINARIA.html,,Sr. Presidente (Gioja),Sr. Presidente (Gioja). --,yes,Voy a solicitar...,,"Passage is mid-interruption dialogue (senator's sentence is broken up by the presiding officer); ""Voy a solicitar..."" is the officer's own interjected words cutting off Fernández de Kirchner."
h132,2001-08-29_r57,2001-08-29_r57_ORDINARIA.html,,Sr. Presidente (Losada),Sr. Presidente (Losada). --,yes,Tiene la palabra el señor senador Arnold.,4 of 4,
h133,2002-08-01_r17,2002-08-01_r17_ORDINARIA.html,,Sr. Presidente (Maqueda),Sr. Presidente (Maqueda). --,yes,"Corresponde considerar el dictamen de la Comisión de Presupuesto y Hacienda en el proyecto de resolución del señor senador Gallia y otros señores senadores, por el que se dispone regularizar",,
h134,1998-12-16_r73,1998-12-16_r73_EXTRAORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,"Se deja constancia, señor senador. Si no se hace uso de la palabra, se va a votar en general.",,
h135,2003-02-26_r41,2003-02-26_r41_EXTRAORDINARIA.html,,Sr. Presidente (Gioja),Sr. Presidente (Gioja). --,yes,Así se hará.,,
h136,2003-05-07_r08,2003-05-07_r08_ORDINARIA.html,,Sra. Seguí,Sra. Seguí. --,yes,Sí.,,
h137,2002-08-28_r21,2002-08-28_r21_ORDINARIA.html,,Sr. Lamberto,Sr. Lamberto. --,yes,"En el último párrafo, donde dice ""...el Ministerio de Economía de la Nación y el Banco Central de la RepúblicaArgentina serán las autoridades de aplicación del presente artículo en el",,
h138,1999-09-22_r46,1999-09-22_r46_ORDINARIA.html,,Sr. PRESIDENTE (Cafiero),Sr. PRESIDENTE (Cafiero).-,yes,Queda aprobada la declaración. Se procederá en consecuencia.,7 of 7,"Raw text contains 8 occurrences of this exact closing formula, not 7 as the batch's ""7 of 7"" implies. All 8 are genuine distinct votes (6 under Menem, 2 under Cafiero), not decoding artifacts. Whether the intended occurrence is my #7 or #8, both are spoken by Sr. PRESIDENTE (Cafiero), so the answer is unaffected, but a maintainer should check the occurrence-counting logic for this phrase/file."
h139,2000-09-13_r51,2000-09-13_r51_ORDINARIA.html,,Sr. Presidente (Genoud),Sr. Presidente (Genoud). --,yes,Queda aprobada la comunicación. Se procederá en consecuencia.,20 of 59,"Raw text has 60 occurrences of this closing formula, not 59 as ""20 of 59"" implies. Checked occurrences 15-25: all are Sr. Presidente (Genoud), so the off-by-one does not change the answer."
h140,1999-06-23_r29,1999-06-23_r29_ORDINARIA.html,,Sr. YOMA,Sr. YOMA.-,yes,Quiero plantear una pregunta al miembro informante.¿Por qué es tan excesivo el plazo -120 días- para dictar la reglamentación por parte del Poder Ejecutivo?,,
h141,1999-12-22_r69,1999-12-22_r69_EXTRAORDINARIA.html,,Sr. CANTARERO,Sr. CANTARERO.-,yes,Señor presidente: quisiera salir de una duda ¿Dónde dice siete días?,,
h142,2001-05-16_r33,2001-05-16_r33_ORDINARIA.html,,Sr. Presidente (Menem),Sr. Presidente (Menem). --,yes,"En consideración en general. Si no se hace uso de la palabra, se va a votar.",28 of 63,Raw-text occurrence count (63) matches the batch's stated total exactly.
h143,1999-08-25_r43,1999-08-25_r43_ORDINARIA.html,,Sr. SECRETARIO (Oyarzún),Sr. SECRETARIO (Oyarzún).-,yes,(Lee:),1 of 7,"opening_words ""(Lee:)"" is very generic: raw text has 50 occurrences of the literal string, not 7 as ""1 of 7"" implies. Occurrence 1 by raw count is unambiguous (it is also the first (Lee:) in the file), and it is spoken by Sr. SECRETARIO (Oyarzún).- introducing the read-aloud of the Borges homage declaration."
h144,2000-12-21_r71,2000-12-21_r71_EXTRAORDINARIA.html,,Sra. Sapag,Sra. Sapag. --,yes,Pido la palabra.,3 of 19,Raw-text occurrence count (19) matches the batch's stated total exactly.
h145,2001-03-28_r13,2001-03-28_r13_ORDINARIA.html,,Sr. Presidente (Losada),Sr. Presidente (Losada). --,yes,Tiene la palabra el señor senador Del Piero.,2 of 3,Raw-text occurrence count (3) matches the batch's stated total exactly.
h146,2000-10-04_r55,2000-10-04_r55_ORDINARIA.html,,Sr. Secretario (Pontaquarto),Sr. Secretario (Pontaquarto). --,yes,"(Lee:) ""Plan de labor para la sesión del día 4 de octubre de 2000. Consideración del dictamen en las modificaciones introducidas por la Honorable Cámara de Diputados en el proyecto",,"The passage is the secretary reading the ""Plan de labor"" aloud at the chair's instruction -- spoken in the floor session (introduced by ""Por Secretaría se dará lectura al plan de labor parlamentaria"")"
h147,2001-04-04_r14,2001-04-04_r14_ORDINARIA.html,,Sr. Prosecretario (Canals),Sr. Prosecretario (Canals). --,yes,(Lee:),67 of 72,"opening_words ""(Lee:)"" is very generic: raw text has 88 occurrences of the literal string in this file, not 72 as ""67 of 72"" implies. Checked occurrences 65-69 by raw count: all five are Sr. Prosecretario (Canals), so the label is stable across the plausible range even though the exact occurrence-count method differs from the batch's."
h148,1998-05-06_r13,1998-05-06_r13_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,"Si no se hace uso de la palabra, se va a votar el dictamen contenido en el anexo al Orden del Día N 263 por el que se rechaza totalmente",,
h149,2001-03-07_r02,2001-03-07_r02_ORDINARIA.html,,Sr. Presidente (Menem),Sr. Presidente (Menem). --,yes,Corresponde considerar el dictamen de la Comisión Parlamentaria Mixta Revisora de Cuentas de la Administración en el expediente Oficiales Varios 167/99 por el cual la Auditoría General de la Nación,,
h150,2001-06-20_r41,2001-06-20_r41_ORDINARIA.html,,Sr. Presidente,Sr. Presidente -- ,yes,"En consideración en general. Si no se hace uso de la palabra, se va a votar.",25 of 46,"This occurrence prints the officer's bare label ""Sr. Presidente --"" without the usual ""(Losada)"" parenthetical, unlike the surrounding occurrences of the same run (Nº 306, 307 both say ""Sr. Presidente (Losada). --""; Nº 308, 309, 310 all drop the name and read plain ""Sr. Presidente -- ""). Also, raw-text occurrence count is 47, not 46 as ""25 of 46"" implies; checked occurrences 23-27, the name-dropping starts exactly at the Nº 308 item (my occurrence 25) and continues, so the answer is stable regardless of the exact off-by-one."
h151,2000-02-23_r73,2000-02-23_r73_EXTRAORDINARIA.html,,Sr. SECRETARIO (Pontaquarto),Sr. SECRETARIO (Pontaquarto).-,yes,(Lee:) .,45 of 49,"Verified count: exactly 49 total ""(Lee:)"" stage-direction paragraphs in this file match the ""(Lee:) ."" pattern (trailing stray placeholder period in colored font before the Orden del Día link); all 49 are spoken by the same secretary, so the 45th is Sr. SECRETARIO (Pontaquarto)."
h152,1999-12-09_r67,1999-12-09_r67_ORDINARIA.html,,Sr. DEL PIERO,Sr. DEL PIERO.-,yes,"Señor presidente: también quiero sumarme a esta despedida, aunque han quedado algunas cosas que no me contestó; pero no importa. Le deseo mucha suerte y esperemos que juntos, aliancistas y",,
h153,2001-06-27_r43,2001-06-27_r43_ORDINARIA.html,,Sr. Presidente (Menem),Sr. Presidente (Menem).-- ,yes,Corresponde considerar el dictamen de la Comisión Parlamentaria Mixta Revisora de Cuentas de la Administración en el expediente Oficiales Varios 440/99 mediante el cual la Auditoría General de la Nación,,
h154,2001-07-29_r49,2001-07-29_r49_ESPECIAL.html,,Sr. Preto,Sr. Preto. --,yes,"Los norteamericanos cumplen con la ley y por eso tienen un país previsible y son lo que son y tienen la economía que tienen y, además --por decirlo de algún",,
h155,2001-03-07_r02,2001-03-07_r02_ORDINARIA.html,,Sr. Massaccesi,Sr. Massaccesi. --,yes,Pido la palabra.,3 of 16,
h156,2001-06-27_r43,2001-06-27_r43_ORDINARIA.html,,Sr. Secretario (Oyarzún),Sr. Secretario (Oyarzún).-- (Lee:),yes,(Lee:),32 of 48,"Counted 48 paragraphs whose text (after stripping the centered ""Orden del Día"" link block) is exactly ""(Lee:)"", matching the row's ""32 of 48""; the 32nd is Orden del Día Nº 485, read by Sr. Secretario (Oyarzún). All 48 in this file share this same speaker, so the answer is robust either way."
h157,1998-10-28_r54,1998-10-28_r54_ORDINARIA.html,,Sr. GALVÁN,Sr. GALVÁN.-,yes,"Solicito que a continuación del tratamiento del proyecto del señor senador por Catamarca, este Senado se aboque a considerar sobre tablas el proyecto contenido en el expediente S. 1942/98, referido",,
h158,1999-06-02_r21,1999-06-02_r21_ESPECIAL.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,"Habiendo concluido la lista de oradores, vamos a someter a votación en general el proyecto de ley venido en revisión por el cual se aprueba el Tratado para precisar el",,
h159,1998-10-14_r52,1998-10-14_r52_ORDINARIA.html,,Sr. PRESIDENTE (Cafiero),Sr. PRESIDENTE (Cafiero).-,yes,Queda aprobada la declaración. Se procederá en consecuencia.,8 of 9,
h160,2000-03-15_r06,2000-03-15_r06_ORDINARIA.html,,Sr. Presidente,Sr. Presidente. --,yes,"Ahora, corresponde constituir a la Cámara en Tribunal en los juicios políticos seguidos a los señores jueces Guillermo Tiscornia y Norberto Oyarbide.",,"Label has no name in parentheses, unlike this file's usual ""Sr. Presidente"" pattern elsewhere -- printed exactly as ""Sr. Presidente. -- ""."
h161,1999-07-14_r35,1999-07-14_r35_ORDINARIA.html,,Sr. GENOUD,Sr. GENOUD.-,yes,¿Me permite?,,
h162,1998-09-23_r48,1998-09-23_r48_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,Queda sancionado el proyecto de ley. Se comunicará a la Honorable Cámara de Diputados.,8 of 8,
h163,2001-06-20_r41,2001-06-20_r41_ORDINARIA.html,,Sr. Presidente (Losada),Sr. Presidente (Losada). --,yes,Corresponder pasar a cuarto intermedio para constituir la Cámara en Tribunal de Juicio Político.,,
h164,1999-06-23_r29,1999-06-23_r29_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE.-,no,Queda sancionado el proyecto de ley. Se comunicará a la Honorable Cámara de Diputados.,18 of 28,"the sheet's old occurrence count sent the reader to a different printing of the same stock phrase; the page prints the parser's label immediately before every block the parser gives it (checked, this file) | reader: Searching the exact phrase found 29 occurrences of this boilerplate line, not the 28 implied by ""18 of 28""; I could not identify which one is meant to be excluded. All 29 are spoken by ""Sr. PRESIDENTE"" -- sometimes printed with ""(Menem)"" and sometimes without. My occurrence #18 (by straightforward left-to-right count) is the bare ""Sr. PRESIDENTE.-"" form; a neighboring one, if the intended 18th differs by one position, would read ""Sr. PRESIDENTE (Menem).-"" instead. Same underlying speaker (Menem) either way."
h165,1999-03-01_r00,1999-03-01_r00_ASAMBLEA.html,,Sr. SENADOR ALASINO,Sr. SENADOR ALASINO.-,yes,Señor presidente: hago moción para que se autorice a la Presidencia a designar a los miembros de las comisiones de Recepción que esperarán al señor presidente de la Nación. También,,
h166,1998-11-04_r56,1998-11-04_r56_ORDINARIA.html,,Sr. VILLARROEL,Sr. VILLARROEL.-,yes,Está bien. Voy a conceder la interrupción porque respeto la opinión ajena. Pero solicito que sea muy breve.,,"Quoted passage spans two consecutive <P> paragraphs (""Está bien."" then ""Voy a conceder..."") with no new speaker label between them, so both are Villarroel continuing."
h167,2000-06-07_r24,2000-06-07_r24_ESPECIAL.html,,Sr. Presidente,Sr. Presidente. --,yes,"Si hay asentimiento, por Secretaría se lo invitará a ingresar en el recinto.",,
h168,1999-08-04_r37,1999-08-04_r37_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,Corresponde considerar el dictamen de las comisiones de Libertad de Expresión y de Derechos y Garantías en el proyecto de declaración del señor senador Romero Feris por el que se,,"No which_occurrence given, took first of 3 matches for this phrase (the other two are dictámenes on different topics from the same committees, worded almost identically)."
h169,2000-11-15_r60,2000-11-15_r60_ORDINARIA.html,,Sr. Presidente (Losada),Sr. Presidente (Losada). --,yes,"Tiene la palabra el señor senador por Tucumán, del bloque justicialista.",,
h170,2003-03-06_r02,2003-03-06_r02_ORDINARIA.html,,Sr. Mayans,Sr. Mayans. --,yes,Los que no fumamos le pedimos a los que fuman que no lo hagan.,,
h171,2000-08-09_r42,2000-08-09_r42_ORDINARIA.html,,Sr. Secretario (Pontaquarto),Sr. Secretario (Pontaquarto). --,yes,(Lee:),8 of 16,"Counted 16 paragraphs whose text (stripping the centered Orden del Día link) is exactly ""(Lee:)"", matching ""8 of 16"" exactly; all 16 in this file are the same secretary."
h172,2002-11-27_r37,2002-11-27_r37_ORDINARIA.html,,Sra. Bar,Sra. Bar. --,yes,"¿Me concede una interrupción, señora senadora?",1 of 2,
h173,1999-12-15_r68,1999-12-15_r68_EXTRAORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,Queda aprobada la declaración. Se procederá en consecuencia.,25 of 28,"Exact phrase count matches the row's denominator exactly (28 total), so occurrence 25 is unambiguous."
h174,2000-03-22_r09,2000-03-22_r09_ORDINARIA.html,,Sr. Di Pietro,Sr. Di Pietro. --,yes,"Le cedo la palabra al señor senador Sager, señor presidente.",,
h175,1998-08-26_r39,1998-08-26_r39_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,Tiene la palabra el señor senador por La Pampa.,1 of 4,"No which_occurrence given; found 6 matches for this phrase (row says ""1 of 4"", a different count), but all 6 are spoken by the same presiding officer, so the answer holds regardless of which counting scheme was intended."
h176,1998-12-07_r68,1998-12-07_r68_ESPECIAL.html,,Sr. ALASINO,Sr. ALASINO.-,yes,"Señor presidente: creo que ahora podemos votar el proyecto sobre la ""probation"", ya que se trata de una iniciativa originada en el bloque de la Unión Cívica Radical...",,
h177,2001-03-07_r02,2001-03-07_r02_ORDINARIA.html,,Sr. Presidente (Menem),Sr. Presidente (Menem). --,yes,"En consideración en general. Si no se hace uso de la palabra, se va a votar.",40 of 75,
h178,2003-03-06_r02,2003-03-06_r02_ORDINARIA.html,,Sr. Presidente (Gioja),Sr. Presidente (Gioja). --,yes,"En definitiva, se han anotado los siguientes senadores: Ibarra, Gómez Diez, Paso, Morales, Barrionuevo, Kirchner, Terragno, Yoma, Moro, Curletti, Zavalía, Mayans, Conti y cierra el señor senador Pichetto.",,
h179,2000-08-30_r47,2000-08-30_r47_ORDINARIA.html,,Sr. Presidente (Genoud),Sr. Presidente (Genoud). --,yes,"Hay 57 senadores en la Casa, pero lo que ocurre es que el número de legisladores presentes en el recinto va disminuyendo en lugar de aumentar. Por eso, anteriormente hice",,
h180,2002-01-01_r00,2002-01-01_r00_ASAMBLEA.html,,Sra. diputada Castro,Sra. diputada Castro. --,yes,"Voy redondeando, señor presidente. Quienes estamos reunidos en esta Asamblea Legislativa somos los representantes del pueblo, ni más ni menos que los representantes del pueblo, pero sólo los representantes del",,Joint Asamblea Legislativa session; speaker is a deputy (diputada) not a senator.
h181,2002-01-23_r82,2002-01-23_r82_ORDINARIA.html,,Sr. Secretario (Oyarzún),Sr. Secretario (Oyarzún). --,yes,"(Lee:) ""Capítulo III. De la deuda del sector privado e hipotecario. Artículo 15: Las entidades financieras regidas por la ley 21.526 y complementarias gozarán de un plazo de 90 días",,"Passage is bill text (Capítulo III sobre deuda del sector privado e hipotecario) read into the record by the Secretary after """"(Lee:)""""; it is the Secretary's reading of an inserted document's text"
h182,1999-12-15_r68,1999-12-15_r68_EXTRAORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,Tiene la palabra el señor senador por La Rioja.,14 of 15,
h183,2000-10-25_r59,2000-10-25_r59_ORDINARIA.html,,Sr. Presidente (Cafiero),Sr. Presidente (Cafiero). --,yes,Queda aprobada la comunicación. Se procederá en consecuencia.,16 of 161,
h184,1998-06-24_r26,1998-06-24_r26_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,"Le ruego no dialogar, señor senador.",,
h185,2000-04-12_r13,2000-04-12_r13_ORDINARIA.html,,Sr. Presidente (Genoud),Sr. Presidente (Genoud). --,yes,Corresponde considerar el dictamen de la Comisión de Interior y Justicia y de Economía en el proyecto de comunicación del señor senador San Millán por el que se solicita la,,
h186,1998-10-28_r54,1998-10-28_r54_ORDINARIA.html,,Sr. PRESIDENTE (Losada),Sr. PRESIDENTE (Losada).-,yes,Queda aprobada la preferencia.,4 of 5,
h187,2002-08-28_r21,2002-08-28_r21_ORDINARIA.html,,Sr. Presidente (López Arias),Sr. Presidente (López Arias). --,yes,Corresponde considerar el dictamen de la Comisión de Comunicaciones en el proyecto de resolución del señor senador Prades por el que se solicitan informes sobre la empresa Correo Argentino. Se,,
h188,2003-04-09_r06,2003-04-09_r06_ORDINARIA.html,,Sr. Capitanich,Sr. Capitanich. --,yes,"¡Señor presidente, pido la palabra!",,No which_occurrence given; phrase appears twice in the file (this is the first).
h189,1998-05-27_r21,1998-05-27_r21_ORDINARIA.html,,Sr. PRESIDENTE (Almirón),Sr. PRESIDENTE (Almirón).-,yes,Tiene la palabra el señor senador por Entre Ríos del bloque justicialista.,,
h190,1999-12-09_r67,1999-12-09_r67_ORDINARIA.html,,Sr. ROMERO FERIS,Sr. ROMERO FERIS.-,yes,"Señor presidente: mientras se consigue el quórum quiero solicitar que en la sesión de la semana que viene se considere en primer término el orden del día 1245, referido a",,
h191,2001-03-07_r02,2001-03-07_r02_ORDINARIA.html,,Sr. Palacios,Sr. Palacios. --,yes,CD.118/99.,,
h192,2000-10-25_r59,2000-10-25_r59_ORDINARIA.html,,Sr. Presidente (Cafiero),Sr. Presidente (Cafiero). --,yes,"En consideración en general. Si no se hace uso de la palabra, se va a votar.",199 of 269,"Raw substring count for this phrase is 270 in this file, one more than the 269 in which_occurrence; the extra (last) instance has odd markup (<FONT FACE=\\""> and """"Cafiero).-- """" with no space). Cafiero presides the whole session so the answer is unaffected regardless of which count is used."""
h193,2003-03-06_r02,2003-03-06_r02_ORDINARIA.html,,Sr. Presidente (Gioja),Sr. Presidente (Gioja). --,yes,Corresponde considerar el dictamen de la Comisión de Asesoramiento del Mercosur en el proyecto de comunicación del señor senador Taffarel y de la señora senadora Bar por el que se,,No which_occurrence given; this exact boilerplate dictamen text (Taffarel/Bar
h194,2002-11-21_r35,2002-11-21_r35_ORDINARIA.html,,Sr. Presidente (Maqueda),Sr. Presidente (Maqueda). --,yes,"Corresponde considerar el dictamen de la Comisión de Familia y Minoridad en los proyectos de declaración de las señoras senadoras Perceval (I), Curletti y otros señores senadores (II) y de",,
h195,2002-10-23_r30,2002-10-23_r30_ORDINARIA.html,,Sr. Presidente (Maqueda),Sr. Presidente (Maqueda). --,yes,Corresponde considerar el dictamen de las comisiones de Familia y Minoridad y de Relaciones Exteriores y Culto en el proyecto de resolución de la señora senadora Maza y otros señores,,
h196,2000-11-15_r60,2000-11-15_r60_ORDINARIA.html,,Sr. Presidente (Losada),Sr. Presidente (Losada). --,yes,"En consideración en general. Si no se hace uso de la palabra, se va a votar.",91 of 104,
h197,2002-04-11_r06,2002-04-11_r06_ORDINARIA.html,,Sr. Presidente (Maqueda),Sr. Presidente (Maqueda). --,yes,Corresponde considerar si se trata sobre tablas el proyecto de declaración del señor senador Gioja por el que se declara de interés educativo y cultural la muestra conmemorativa del centenario,,
h198,1999-08-11_r39,1999-08-11_r39_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,Queda sancionado el proyecto de ley. Se comunicará a la Honorable Cámara de Diputados.,2 of 14,"Raw substring count for this phrase is 15 in this file, one more than the 14 in which_occurrence. Menem presides throughout the relevant stretch so the answer is unaffected regardless of which count is used."
h199,1999-08-04_r37,1999-08-04_r37_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,Corresponde considerar el dictamen de la Comisión de Defensa Nacional en el proyecto de comunicación del señor senador Bravo por el que se solicitan informes acerca de la situación de,,
h200,2003-02-26_r41,2003-02-26_r41_EXTRAORDINARIA.html,,Sr. López Arias,Sr. López Arias. --,yes,Pido la palabra.,3 of 4,
h201,2003-07-02_r14,2003-07-02_r14_ORDINARIA.html,,Sr. Presidente (Gioja),Sr. Presidente (Gioja).--,yes,Corresponde considerar el dictamen de la Comisión Parlamentaria Mixta Revisora de Cuentas de la Administración en las resoluciones remitidas por la Auditoría General de la Nación sobre estados financieros del,,
h202,2000-04-12_r13,2000-04-12_r13_ORDINARIA.html,,Sr. Secretario (Pontaquarto),Sr. Secretario (Pontaquarto).--,yes,(Lee:) .,5 of 67,"Passage is the ""(Lee:)"" reading cue itself, spoken by the Secretary right after his own label, immediately before the inserted Orden del Día text begins; attributed to him, not to the document that follows."
h203,2002-11-21_r35,2002-11-21_r35_ORDINARIA.html,,Sra. Fernández de Kirchner,Sra. Fernández de Kirchner. --,yes,Pido la palabra para una interrupción.,,
h204,1999-06-16_r25,1999-06-16_r25_ORDINARIA.html,,Sr. PRESIDENTE (Ulloa),Sr. PRESIDENTE (Ulloa).-,yes,Corresponde considerar el dictamen de la Comisión de Cultura en el proyecto de declaración del señor senador Sáez por el que se declara de interés cultural el Encuentro Culturas del,,
